user_prompt,url_to_check,func_rating,custom_rating
I have just been on an international flight,https://www.mayoclinic.org/healthy-lifestyle/infant-and-toddler-health/expert-answers/air-travel-with-infant/faq-20058539,2,4
Can I travel with my newborn safely?,https://www.webmd.com/parenting/features/traveling-with-newborns,2,5
What are the vaccination requirements for traveling?,https://www.cdc.gov/travel/page/vaccinations,2,3
How do I maintain a healthy diet on a long flight?,https://www.healthline.com/nutrition/healthy-airplane-snacks,2,4
Is it safe to use public transport during a pandemic?,https://www.who.int/news-room/questions-and-answers/item/coronavirus-disease-covid-19-public-transport,2,3
What are the latest travel restrictions?,https://www.state.gov/visas/,2,4
Can I bring my pet on an international flight?,https://www.americanpetproducts.org/press_room/pet_travel,2,4
What are the top destinations for families?,https://www.lonelyplanet.com/best-in-travel,2,5
How do I pack efficiently for a trip?,https://www.travelandleisure.com/travel-tips/packing-tips,2,3
Is travel insurance worth it?,https://www.forbes.com/advisor/travel-insurance/,2,4
